asset,year,region,technology,installed,capacity
0,2020,R1,gasCCGT,2020,1
0,2025,R1,gasCCGT,2020,1
6,2030,R1,windturbine,2025,1
6,2035,R1,windturbine,2025,1
6,2040,R1,windturbine,2025,1
6,2045,R1,windturbine,2025,1
6,2049,R1,windturbine,2025,1
6,2050,R1,windturbine,2025,1
6,2054,R1,windturbine,2025,1
7,2035,R1,windturbine,2030,1
7,2040,R1,windturbine,2030,1
7,2045,R1,windturbine,2030,1
7,2049,R1,windturbine,2030,1
7,2050,R1,windturbine,2030,1
7,2054,R1,windturbine,2030,1
7,2055,R1,windturbine,2030,1
7,2059,R1,windturbine,2030,1
8,2040,R1,windturbine,2035,1
8,2045,R1,windturbine,2035,1
8,2049,R1,windturbine,2035,1
8,2050,R1,windturbine,2035,1
8,2054,R1,windturbine,2035,1
8,2055,R1,windturbine,2035,1
8,2059,R1,windturbine,2035,1
8,2060,R1,windturbine,2035,1
8,2064,R1,windturbine,2035,1
9,2045,R1,windturbine,2040,2
9,2049,R1,windturbine,2040,2
9,2050,R1,windturbine,2040,2
9,2054,R1,windturbine,2040,2
9,2055,R1,windturbine,2040,2
9,2059,R1,windturbine,2040,2
9,2060,R1,windturbine,2040,2
9,2064,R1,windturbine,2040,2
9,2065,R1,windturbine,2040,2
9,2069,R1,windturbine,2040,2
