,asset,year,technology,region,installed,capacity
0,0,2045,heatpump,R1,2035,16.4293
1,0,2049,heatpump,R1,2035,16.4293
7,1,2045,heatpump,R1,2040,29.288
8,1,2049,heatpump,R1,2040,29.288
9,1,2050,heatpump,R1,2040,29.288
10,1,2054,heatpump,R1,2040,29.288
16,2,2050,heatpump,R1,2045,22.144
17,2,2054,heatpump,R1,2045,22.144
18,2,2055,heatpump,R1,2045,22.144
19,2,2059,heatpump,R1,2045,22.144
21,3,2045,heatpump,R2,2035,16.4293
22,3,2049,heatpump,R2,2035,16.4293
28,4,2045,heatpump,R2,2040,29.288
29,4,2049,heatpump,R2,2040,29.288
30,4,2050,heatpump,R2,2040,29.288
31,4,2054,heatpump,R2,2040,29.288
37,5,2050,heatpump,R2,2045,22.144
38,5,2054,heatpump,R2,2045,22.144
39,5,2055,heatpump,R2,2045,22.144
40,5,2059,heatpump,R2,2045,22.144
